Number of Compute Workers,Repeat,Iteration,Clustering Fitness,Locality Fitness
0,1,3.160000e+09,-4.005120e+09,-2.856410e+09
0,1,3.170000e+09,-4.003870e+09,-2.853150e+09
0,1,3.180000e+09,-4.002650e+09,-2.849700e+09
0,1,3.190000e+09,-4.001440e+09,-2.846320e+09
0,1,3.200000e+09,-4.000180e+09,-2.843120e+09
0,1,3.210000e+09,-3.998960e+09,-2.839910e+09
0,1,3.220000e+09,-3.997820e+09,-2.836650e+09
0,1,3.230000e+09,-3.996590e+09,-2.833470e+09
0,1,3.240000e+09,-3.995430e+09,-2.830270e+09
0,1,3.250000e+09,-3.994220e+09,-2.827150e+09
0,1,3.260000e+09,-3.993000e+09,-2.823870e+09
0,1,3.270000e+09,-3.991770e+09,-2.820730e+09
0,1,3.280000e+09,-3.990620e+09,-2.817540e+09
0,1,3.290000e+09,-3.989440e+09,-2.814420e+09
0,1,3.300000e+09,-3.988240e+09,-2.811350e+09
0,1,3.310000e+09,-3.987030e+09,-2.808150e+09
0,1,3.320000e+09,-3.985820e+09,-2.805060e+09
0,1,3.330000e+09,-3.984600e+09,-2.801950e+09
0,1,3.340000e+09,-3.983390e+09,-2.798940e+09
0,1,3.350000e+09,-3.982130e+09,-2.795820e+09
0,1,3.360000e+09,-3.980910e+09,-2.792780e+09
0,1,3.370000e+09,-3.979770e+09,-2.789880e+09
0,1,3.380000e+09,-3.978590e+09,-2.786830e+09
0,1,3.390000e+09,-3.977380e+09,-2.783920e+09
0,1,3.400000e+09,-3.976250e+09,-2.780840e+09
0,1,3.410000e+09,-3.975020e+09,-2.777800e+09
0,1,3.420000e+09,-3.973850e+09,-2.774800e+09
0,1,3.430000e+09,-3.972630e+09,-2.771830e+09
0,1,3.440000e+09,-3.971520e+09,-2.768810e+09
0,1,3.450000e+09,-3.970310e+09,-2.765780e+09
0,1,3.460000e+09,-3.969120e+09,-2.762720e+09
0,1,3.470000e+09,-3.967920e+09,-2.759900e+09
0,1,3.480000e+09,-3.966760e+09,-2.756970e+09
0,1,3.490000e+09,-3.965630e+09,-2.754040e+09
0,1,3.500000e+09,-3.964420e+09,-2.751050e+09
0,1,3.510000e+09,-3.963220e+09,-2.748370e+09
0,1,3.520000e+09,-3.962060e+09,-2.745400e+09
0,1,3.530000e+09,-3.960900e+09,-2.742460e+09
0,1,3.540000e+09,-3.959730e+09,-2.739500e+09
0,1,3.550000e+09,-3.958510e+09,-2.736560e+09
0,1,3.560000e+09,-3.957330e+09,-2.733590e+09
0,1,3.570000e+09,-3.956120e+09,-2.730670e+09
0,1,3.580000e+09,-3.954900e+09,-2.727850e+09
0,1,3.590000e+09,-3.953690e+09,-2.724910e+09
0,1,3.600000e+09,-3.952480e+09,-2.721910e+09
0,1,3.610000e+09,-3.951340e+09,-2.718890e+09
0,1,3.620000e+09,-3.950170e+09,-2.716090e+09
0,1,3.630000e+09,-3.948950e+09,-2.713370e+09
0,1,3.640000e+09,-3.947790e+09,-2.710570e+09
0,1,3.650000e+09,-3.946620e+09,-2.707800e+09
0,1,3.660000e+09,-3.945470e+09,-2.704960e+09
0,1,3.670000e+09,-3.944320e+09,-2.702160e+09
0,1,3.680000e+09,-3.943110e+09,-2.699250e+09
0,1,3.690000e+09,-3.941970e+09,-2.696370e+09
0,1,3.700000e+09,-3.940760e+09,-2.693610e+09
0,1,3.710000e+09,-3.939610e+09,-2.690940e+09
0,1,3.720000e+09,-3.938490e+09,-2.687950e+09
0,1,3.730000e+09,-3.937320e+09,-2.685160e+09
0,1,3.740000e+09,-3.936180e+09,-2.682240e+09
0,1,3.750000e+09,-3.935030e+09,-2.679630e+09
0,1,3.760000e+09,-3.933840e+09,-2.676720e+09
0,1,3.770000e+09,-3.932610e+09,-2.673930e+09
0,1,3.780000e+09,-3.931470e+09,-2.671150e+09
0,1,3.790000e+09,-3.930310e+09,-2.668390e+09
0,1,3.800000e+09,-3.929150e+09,-2.665660e+09
0,1,3.810000e+09,-3.927990e+09,-2.662930e+09
0,1,3.820000e+09,-3.926760e+09,-2.660170e+09
0,1,3.830000e+09,-3.925590e+09,-2.657290e+09
0,1,3.840000e+09,-3.924440e+09,-2.654820e+09
0,1,3.850000e+09,-3.923360e+09,-2.652200e+09
0,1,3.860000e+09,-3.922220e+09,-2.649600e+09
0,1,3.870000e+09,-3.921070e+09,-2.646850e+09
0,1,3.880000e+09,-3.919920e+09,-2.644260e+09
0,1,3.890000e+09,-3.918750e+09,-2.641640e+09
0,1,3.900000e+09,-3.917640e+09,-2.638940e+09
0,1,3.910000e+09,-3.916500e+09,-2.636380e+09
0,1,3.920000e+09,-3.915320e+09,-2.633730e+09
0,1,3.930000e+09,-3.914150e+09,-2.631170e+09
0,1,3.940000e+09,-3.912940e+09,-2.628430e+09
0,1,3.950000e+09,-3.911800e+09,-2.625850e+09
0,1,3.960000e+09,-3.910660e+09,-2.623360e+09
0,1,3.970000e+09,-3.909550e+09,-2.620610e+09
0,1,3.980000e+09,-3.908470e+09,-2.617890e+09
0,1,3.990000e+09,-3.907310e+09,-2.615130e+09
0,1,4.000000e+09,-3.906220e+09,-2.612420e+09
0,1,4.010000e+09,-3.905030e+09,-2.610000e+09
0,1,4.020000e+09,-3.903900e+09,-2.607500e+09
0,1,4.030000e+09,-3.902770e+09,-2.604860e+09
0,1,4.040000e+09,-3.901690e+09,-2.602260e+09
0,1,4.050000e+09,-3.900560e+09,-2.599720e+09
0,1,4.060000e+09,-3.899460e+09,-2.597110e+09
0,1,4.070000e+09,-3.898300e+09,-2.594540e+09
0,1,4.080000e+09,-3.897170e+09,-2.592150e+09
0,1,4.090000e+09,-3.896050e+09,-2.589440e+09
0,1,4.100000e+09,-3.894930e+09,-2.586780e+09
0,1,4.110000e+09,-3.893810e+09,-2.584120e+09
0,1,4.120000e+09,-3.892750e+09,-2.581600e+09
0,1,4.130000e+09,-3.891610e+09,-2.579230e+09
0,1,4.140000e+09,-3.890490e+09,-2.576750e+09
0,1,4.150000e+09,-3.889370e+09,-2.574310e+09
0,1,4.160000e+09,-3.888230e+09,-2.571740e+09
0,1,4.170000e+09,-3.887130e+09,-2.569280e+09
0,1,4.180000e+09,-3.886010e+09,-2.566800e+09
0,1,4.190000e+09,-3.884850e+09,-2.564490e+09
0,1,4.200000e+09,-3.883700e+09,-2.562130e+09
0,1,4.210000e+09,-3.882550e+09,-2.559650e+09
0,1,4.220000e+09,-3.881450e+09,-2.557150e+09
0,1,4.230000e+09,-3.880360e+09,-2.554840e+09
0,1,4.240000e+09,-3.879240e+09,-2.552350e+09
0,1,4.250000e+09,-3.878130e+09,-2.549870e+09
0,1,4.260000e+09,-3.877020e+09,-2.547480e+09
0,1,4.270000e+09,-3.875870e+09,-2.545030e+09
0,1,4.280000e+09,-3.874740e+09,-2.542580e+09
0,1,4.290000e+09,-3.873600e+09,-2.540210e+09
0,1,4.300000e+09,-3.872460e+09,-2.537940e+09
0,1,4.310000e+09,-3.871300e+09,-2.535530e+09
0,1,4.320000e+09,-3.870170e+09,-2.533130e+09
0,1,4.330000e+09,-3.869000e+09,-2.530740e+09
0,1,4.340000e+09,-3.867920e+09,-2.528250e+09
0,1,4.350000e+09,-3.866760e+09,-2.525800e+09
0,1,4.360000e+09,-3.865640e+09,-2.523460e+09
0,1,4.370000e+09,-3.864520e+09,-2.521210e+09
0,1,4.380000e+09,-3.863380e+09,-2.518760e+09
0,1,4.390000e+09,-3.862300e+09,-2.516330e+09
0,1,4.400000e+09,-3.861170e+09,-2.513980e+09
0,1,4.410000e+09,-3.860100e+09,-2.511640e+09
0,1,4.420000e+09,-3.858930e+09,-2.509290e+09
0,1,4.430000e+09,-3.857820e+09,-2.506860e+09
0,1,4.440000e+09,-3.856780e+09,-2.504460e+09
0,1,4.450000e+09,-3.855700e+09,-2.502100e+09
0,1,4.460000e+09,-3.854570e+09,-2.499760e+09
0,1,4.470000e+09,-3.853480e+09,-2.497470e+09
0,1,4.480000e+09,-3.852400e+09,-2.495110e+09
0,1,4.490000e+09,-3.851300e+09,-2.492800e+09
0,1,4.500000e+09,-3.850190e+09,-2.490430e+09
0,1,4.510000e+09,-3.849110e+09,-2.488140e+09
0,1,4.520000e+09,-3.848020e+09,-2.485840e+09
0,1,4.530000e+09,-3.846910e+09,-2.483460e+09
0,1,4.540000e+09,-3.845800e+09,-2.481150e+09
0,1,4.550000e+09,-3.844670e+09,-2.478930e+09
0,1,4.560000e+09,-3.843610e+09,-2.476600e+09
0,1,4.570000e+09,-3.842540e+09,-2.474280e+09
0,1,4.580000e+09,-3.841390e+09,-2.471980e+09
